Index,Number,Name,Type-1,Type-2,Total,HP,Attack,Defense,Sp-Atk,Sp-Def,Speed,Egg-Group-1,Egg-Group-2,Experience-type,XP-Mult,HP-base,HP/Nv,FOR,DES,CON,INT,SAB,CAR,Armor
197,150,Mewtwo,PSYCHIC,,680,106,110,90,154,90,130,No-Eggs-Discovered,,Slow,-10,22,6,14,17,12,20,12,3d4,7
198,150,Mega-Mewtwo-X,PSYCHIC,FIGHTING,780,106,190,100,154,100,130,No-Eggs-Discovered,,Slow,-10,22,6,24,17,13,20,13,3d4,8
199,150,Mega-Mewtwo-Y,PSYCHIC,,780,106,150,70,194,120,140,No-Eggs-Discovered,,Slow,-10,22,6,19,18,12,25,15,3d4,7
200,151,Mew,PSYCHIC,,600,100,100,100,100,100,100,No-Eggs-Discovered,,Medium-Slow,-5,21,6,13,13,13,13,13,3d4,8
201,152,Chikorita,GRASS,,318,45,49,65,49,65,45,Monster,Grass,Medium-Slow,-5,10,3,7,6,9,7,9,3d4,5
202,153,Bayleef,GRASS,,405,60,62,80,63,80,60,Monster,Grass,Medium-Slow,-5,13,4,8,8,10,8,10,3d4,6
203,154,Meganium,GRASS,,525,80,82,100,83,100,80,Monster,Grass,Medium-Slow,-5,17,5,11,10,13,11,13,3d4,8
204,155,Cyndaquil,FIRE,,309,39,52,43,60,50,65,Field,,Medium-Slow,-5,8,2,7,9,6,8,7,3d4,3
205,156,Quilava,FIRE,,405,58,64,58,80,65,80,Field,,Medium-Slow,-5,12,3,8,10,8,10,9,3d4,4
206,157,Typhlosion,FIRE,,534,78,84,78,109,85,100,Field,,Medium-Slow,-5,16,4,11,13,11,14,11,3d4,6
207,157,Typhlosion-Hisuian-Typhlosion,FIRE,GHOST,534,73,84,78,119,85,95,Field,,Medium-Slow,-5,15,4,11,12,11,15,11,3d4,6
208,158,Totodile,WATER,,314,50,65,64,44,48,43,Monster,Water-1,Medium-Slow,-5,11,3,9,6,7,6,6,3d4,4
209,159,Croconaw,WATER,,405,65,80,80,59,63,58,Monster,Water-1,Medium-Slow,-5,14,4,10,8,9,8,8,3d4,5
210,160,Feraligatr,WATER,,530,85,105,100,79,83,78,Monster,Water-1,Medium-Slow,-5,18,5,14,10,12,10,11,3d4,7
211,161,Sentret,NORMAL,,215,35,46,34,35,45,20,Field,,Medium-Fast,5,8,2,6,3,5,5,6,3d4,3
212,162,Furret,NORMAL,,415,85,76,64,45,55,90,Field,,Medium-Fast,5,18,5,10,12,8,6,7,3d4,4
213,163,Hoothoot,NORMAL,FLYING,262,60,30,30,36,56,50,Flying,,Medium-Fast,5,13,4,4,7,6,5,7,3d4,3
214,164,Noctowl,NORMAL,FLYING,452,100,50,50,86,96,70,Flying,,Medium-Fast,5,21,6,7,9,10,11,12,3d4,5
215,165,Ledyba,BUG,FLYING,265,40,20,30,40,80,55,Bug,,Fast,10,9,3,3,7,7,5,10,3d4,4
216,166,Ledian,BUG,FLYING,390,55,35,50,55,110,85,Bug,,Fast,10,12,3,5,11,10,7,14,3d4,6
217,167,Spinarak,BUG,POISON,250,40,60,40,40,40,30,Bug,,Fast,10,9,3,8,4,5,5,5,3d4,3
218,168,Ariados,BUG,POISON,400,70,90,70,60,70,40,Bug,,Fast,10,15,4,12,5,9,8,9,3d4,5
219,169,Crobat,POISON,FLYING,535,85,90,80,70,80,130,Flying,,Medium-Fast,5,18,5,12,17,10,9,10,3d4,6
220,170,Chinchou,WATER,ELECTRIC,330,75,38,38,56,56,67,Water-2,,Slow,-10,16,4,5,9,6,7,7,3d4,3
221,171,Lanturn,WATER,ELECTRIC,460,125,58,58,76,76,67,Water-2,,Slow,-10,26,7,8,9,9,10,10,3d4,5
222,172,Pichu,ELECTRIC,,205,20,40,15,35,35,60,No-Eggs-Discovered,,Medium-Fast,5,5,2,5,8,4,5,5,3d4,2
223,173,Cleffa,FAIRY,,218,50,25,28,45,55,15,No-Eggs-Discovered,,Fast,10,11,3,4,2,6,6,7,3d4,3
224,174,Igglybuff,NORMAL,FAIRY,210,90,30,15,40,20,15,No-Eggs-Discovered,,Fast,10,19,5,4,2,3,5,3,3d4,1
225,175,Togepi,FAIRY,,245,35,20,65,40,65,20,No-Eggs-Discovered,,Fast,10,8,2,3,3,9,5,9,3d4,5
226,176,Togetic,FAIRY,FLYING,405,55,40,85,80,105,40,Flying,Fairy,Fast,10,12,3,5,5,12,10,14,3d4,7
227,177,Natu,PSYCHIC,FLYING,320,40,50,45,70,45,70,Flying,,Medium-Fast,5,9,3,7,9,6,9,6,3d4,3
228,178,Xatu,PSYCHIC,FLYING,470,65,75,70,95,70,95,Flying,,Medium-Fast,5,14,4,10,12,9,12,9,3d4,5
229,179,Mareep,ELECTRIC,,280,55,40,40,65,45,35,Monster,Field,Medium-Slow,-5,12,3,5,5,6,9,6,3d4,3
230,180,Flaaffy,ELECTRIC,,365,70,55,55,80,60,45,Monster,Field,Medium-Slow,-5,15,4,7,6,8,10,8,3d4,4
231,181,Ampharos,ELECTRIC,,510,90,75,85,115,90,55,Monster,Field,Medium-Slow,-5,19,5,10,7,11,15,12,3d4,7
232,181,Mega-Ampharos,ELECTRIC,DRAGON,610,90,95,105,165,110,45,Monster,Field,Medium-Slow,-5,19,5,12,6,14,21,14,3d4,8
233,182,Bellossom,GRASS,,490,75,80,95,90,100,50,Grass,,Medium-Slow,-5,16,4,10,7,13,12,13,3d4,7
234,183,Marill,WATER,FAIRY,250,70,20,50,20,50,40,Water-1,Fairy,Fast,10,15,4,3,5,7,3,7,3d4,4
235,184,Azumarill,WATER,FAIRY,420,100,50,80,60,80,50,Water-1,Fairy,Fast,10,21,6,7,7,10,8,10,3d4,6
236,185,Sudowoodo,ROCK,,410,70,100,115,30,65,30,Mineral,,Medium-Fast,5,15,4,13,4,12,4,9,3d4,7
237,186,Politoed,WATER,,500,90,75,75,90,100,70,Water-1,,Medium-Slow,-5,19,5,10,9,11,12,13,3d4,7
238,187,Hoppip,GRASS,FLYING,250,35,35,40,35,55,50,Fairy,Grass,Medium-Slow,-5,8,2,5,7,6,5,7,3d4,3
239,188,Skiploom,GRASS,FLYING,340,55,45,50,45,65,80,Fairy,Grass,Medium-Slow,-5,12,3,6,10,8,6,9,3d4,4
240,189,Jumpluff,GRASS,FLYING,460,75,55,70,55,95,110,Fairy,Grass,Medium-Slow,-5,16,4,7,14,11,7,12,3d4,6
241,190,Aipom,NORMAL,,360,55,70,55,40,55,85,Field,,Fast,10,12,3,9,11,7,5,7,3d4,4
242,191,Sunkern,GRASS,,180,30,30,30,30,30,30,Grass,,Medium-Slow,-5,7,2,4,4,4,4,4,3d4,2
243,192,Sunflora,GRASS,,425,75,75,55,105,85,30,Grass,,Medium-Slow,-5,16,4,10,4,9,14,11,3d4,5
244,193,Yanma,BUG,FLYING,390,65,65,45,75,45,95,Bug,,Medium-Fast,5,14,4,9,12,6,10,6,3d4,3
245,194,Wooper,WATER,GROUND,210,55,45,45,25,25,15,Water-1,Field,Medium-Fast,5,12,3,6,2,5,4,4,3d4,2
246,195,Quagsire,WATER,GROUND,430,95,85,85,65,65,35,Water-1,Field,Medium-Fast,5,20,5,11,5,10,9,9,3d4,6
247,196,Espeon,PSYCHIC,,525,65,65,60,130,95,110,Field,,Medium-Fast,5,14,4,9,14,10,17,12,3d4,6
248,197,Umbreon,DARK,,525,95,65,110,60,130,65,Field,,Medium-Fast,5,20,5,9,9,15,8,17,3d4,9
249,198,Murkrow,DARK,FLYING,405,60,85,42,85,42,91,Flying,,Medium-Slow,-5,13,4,11,12,6,11,6,3d4,3
250,199,Slowking,WATER,PSYCHIC,490,95,75,80,100,110,30,Monster,Water-1,Medium-Fast,5,20,5,10,4,12,13,14,3d4,7
251,199,Galarian-Slowking,POISON,PSYCHIC,490,95,65,80,110,110,30,Monster,Water-1,Medium-Fast,5,20,5,9,4,12,14,14,3d4,7
252,200,Misdreavus,GHOST,,435,60,60,60,85,85,85,Amorphous,,Fast,10,13,4,8,11,10,11,11,3d4,5
253,201,Unown,PSYCHIC,,336,48,72,48,72,48,48,No-Eggs-Discovered,,Medium-Fast,5,10,3,9,6,6,9,6,3d4,3
254,202,Wobbuffet,PSYCHIC,,405,190,33,58,33,58,33,Amorphous,,Medium-Fast,5,39,10,5,5,8,5,8,3d4,4
255,203,Girafarig,NORMAL,PSYCHIC,455,70,80,65,90,65,85,Field,,Medium-Fast,5,15,4,10,11,9,12,9,3d4,5
256,204,Pineco,BUG,,290,50,65,90,35,35,15,Bug,,Medium-Fast,5,11,3,9,2,8,5,5,3d4,5
257,205,Forretress,BUG,STEEL,465,75,90,140,60,60,40,Bug,,Medium-Fast,5,16,4,12,5,13,8,8,3d4,8
258,206,Dunsparce,NORMAL,,415,100,70,70,65,65,45,Field,,Medium-Fast,5,21,6,9,6,9,9,9,3d4,5
259,207,Gligar,GROUND,FLYING,430,65,75,105,35,65,85,Bug,,Medium-Slow,-5,14,4,10,11,11,5,9,3d4,6
260,208,Steelix,STEEL,GROUND,510,75,85,200,55,65,30,Mineral,,Medium-Fast,5,16,4,11,4,17,7,9,3d4,10
261,208,Mega-Steelix,STEEL,GROUND,610,75,125,230,55,95,30,Mineral,,Medium-Fast,5,16,4,16,4,21,7,12,3d4,13
262,209,Snubbull,FAIRY,,300,60,80,50,40,40,30,Field,Fairy,Fast,10,13,4,10,4,6,5,5,3d4,3
263,210,Granbull,FAIRY,,450,90,120,75,60,60,45,Field,Fairy,Fast,10,19,5,15,6,9,8,8,3d4,5
264,211,Qwilfish,WATER,POISON,440,65,95,85,55,55,85,Water-2,,Medium-Fast,5,14,4,12,11,9,7,7,3d4,5
265,211,Qwilfish-Hisuian-Qwilfish,DARK,POISON,440,65,95,85,55,55,85,Water-2,,Medium-Fast,5,14,4,12,11,9,7,7,3d4,5
266,212,Scizor,BUG,STEEL,500,70,130,100,55,80,65,Bug,,Medium-Fast,5,15,4,17,9,12,7,10,3d4,7
267,212,Mega-Scizor,BUG,STEEL,600,70,150,140,65,100,75,Bug,,Medium-Fast,5,15,4,19,10,15,9,13,3d4,9
268,213,Shuckle,BUG,ROCK,505,20,10,230,10,230,5,Bug,,Medium-Slow,-5,5,2,2,1,29,2,29,3d4,18
269,214,Heracross,BUG,FIGHTING,500,80,125,75,40,95,85,Bug,,Slow,-10,17,5,16,11,11,5,12,3d4,6
270,214,Mega-Heracross,BUG,FIGHTING,600,80,185,115,40,105,75,Bug,,Slow,-10,17,5,24,10,14,5,14,3d4,8
271,215,Sneasel,DARK,ICE,430,55,95,55,35,75,115,Field,,Medium-Slow,-5,12,3,12,15,9,5,10,3d4,5
272,215,Sneasel-Hisuian-Sneasel,POISON,FIGHTING,430,55,95,55,35,75,115,Field,,Medium-Slow,-5,12,3,12,15,9,5,10,3d4,5
273,216,Teddiursa,NORMAL,,330,60,80,50,50,50,40,Field,,Medium-Fast,5,13,4,10,5,7,7,7,3d4,4
274,217,Ursaring,NORMAL,,500,90,130,75,75,75,55,Field,,Medium-Fast,5,19,5,17,7,10,10,10,3d4,6
275,218,Slugma,FIRE,,250,40,40,40,70,40,20,Amorphous,,Medium-Fast,5,9,3,5,3,5,9,5,3d4,3
276,219,Magcargo,FIRE,ROCK,430,60,50,120,90,80,30,Amorphous,,Medium-Fast,5,13,4,7,4,13,12,10,3d4,8
277,220,Swinub,ICE,GROUND,250,50,50,40,30,30,50,Field,,Slow,-10,11,3,7,7,5,4,4,3d4,2
278,221,Piloswine,ICE,GROUND,450,100,100,80,60,60,50,Field,,Slow,-10,21,6,13,7,9,8,8,3d4,5
279,222,Corsola,WATER,ROCK,410,65,55,95,65,95,35,Water-1,Water-3,Fast,10,14,4,7,5,12,9,12,3d4,7
280,222,Galarian-Corsola,GHOST,,410,60,55,100,65,100,30,Water-1,Water-3,Fast,10,13,4,7,4,13,9,13,3d4,8
281,223,Remoraid,WATER,,300,35,65,35,65,35,65,Water-1,Water-2,Medium-Fast,5,8,2,9,9,5,9,5,3d4,2
282,224,Octillery,WATER,,480,75,105,75,105,75,45,Water-1,Water-2,Medium-Fast,5,16,4,14,6,10,14,10,3d4,6
283,225,Delibird,ICE,FLYING,330,45,55,45,65,45,75,Water-1,Field,Fast,10,10,3,7,10,6,9,6,3d4,3
284,226,Mantine,WATER,FLYING,485,85,40,70,80,140,70,Water-1,,Slow,-10,18,5,5,9,14,10,18,3d4,8
285,227,Skarmory,STEEL,FLYING,465,65,80,140,40,70,70,Flying,,Slow,-10,14,4,10,9,14,5,9,3d4,8
286,228,Houndour,DARK,FIRE,330,45,60,30,80,50,65,Field,,Slow,-10,10,3,8,9,5,10,7,3d4,3
287,229,Houndoom,DARK,FIRE,500,75,90,50,110,80,95,Field,,Slow,-10,16,4,12,12,9,14,10,3d4,5
288,229,Mega-Houndoom,DARK,FIRE,600,75,90,90,140,90,115,Field,,Slow,-10,16,4,12,15,12,18,12,3d4,7
289,230,Kingdra,WATER,DRAGON,540,75,95,95,95,95,85,Water-1,Dragon,Medium-Fast,5,16,4,12,11,12,12,12,3d4,7
290,231,Phanpy,GROUND,,330,90,60,60,40,40,40,Field,,Medium-Fast,5,19,5,8,5,7,5,5,3d4,4
291,232,Donphan,GROUND,,500,90,120,120,60,60,50,Field,,Medium-Fast,5,19,5,15,7,12,8,8,3d4,7
292,233,Porygon2,NORMAL,,515,85,80,90,105,95,60,Mineral,,Medium-Fast,5,18,5,10,8,12,14,12,3d4,7
293,234,Stantler,NORMAL,,465,73,95,62,85,65,85,Field,,Slow,-10,15,4,12,11,8,11,9,3d4,5
294,235,Smeargle,NORMAL,,250,55,20,35,20,45,75,Field,,Fast,10,12,3,3,10,5,3,6,3d4,3
295,236,Tyrogue,FIGHTING,,210,35,35,35,35,35,35,No-Eggs-Discovered,,Medium-Fast,5,8,2,5,5,5,5,5,3d4,2
296,237,Hitmontop,FIGHTING,,455,50,95,95,35,110,70,Human-Like,,Medium-Fast,5,11,3,12,9,13,5,14,3d4,8
297,238,Smoochum,ICE,PSYCHIC,305,45,30,15,85,65,65,No-Eggs-Discovered,,Medium-Fast,5,10,3,4,9,5,11,9,3d4,3
298,239,Elekid,ELECTRIC,,360,45,63,37,65,55,95,No-Eggs-Discovered,,Medium-Fast,5,10,3,8,12,6,9,7,3d4,3
299,240,Magby,FIRE,,365,45,75,37,70,55,83,No-Eggs-Discovered,,Medium-Fast,5,10,3,10,11,6,9,7,3d4,3
300,241,Miltank,NORMAL,,490,95,80,105,40,70,100,Field,,Slow,-10,20,5,10,13,11,5,9,3d4,7
301,242,Blissey,NORMAL,,540,255,10,10,75,135,55,Fairy,,Fast,10,52,13,2,7,10,10,17,3d4,5
302,243,Raikou,ELECTRIC,,580,90,85,75,115,100,115,No-Eggs-Discovered,,Slow,-10,19,5,11,15,11,15,13,3d4,7
303,244,Entei,FIRE,,580,115,115,85,90,75,100,No-Eggs-Discovered,,Slow,-10,24,6,15,13,10,12,10,3d4,6
304,245,Suicune,WATER,,580,100,75,115,90,115,85,No-Eggs-Discovered,,Slow,-10,21,6,10,11,15,12,15,3d4,9
305,246,Larvitar,ROCK,GROUND,300,50,64,50,45,50,41,Monster,,Slow,-10,11,3,8,6,7,6,7,3d4,4
306,247,Pupitar,ROCK,GROUND,410,70,84,70,65,70,51,Monster,,Slow,-10,15,4,11,7,9,9,9,3d4,5
307,248,Tyranitar,ROCK,DARK,600,100,134,110,95,100,61,Monster,,Slow,-10,21,6,17,8,14,12,13,3d4,8
308,248,Mega-Tyranitar,ROCK,DARK,700,100,164,150,95,120,71,Monster,,Slow,-10,21,6,21,9,17,12,15,3d4,10
309,249,Lugia,PSYCHIC,FLYING,680,106,90,130,90,154,110,No-Eggs-Discovered,,Slow,-10,22,6,12,14,18,12,20,3d4,11
310,250,Ho-oh,FIRE,FLYING,680,106,130,90,110,154,90,No-Eggs-Discovered,,Slow,-10,22,6,17,12,16,14,20,3d4,9
311,251,Celebi,PSYCHIC,GRASS,600,100,100,100,100,100,100,No-Eggs-Discovered,,Medium-Slow,-5,21,6,13,13,13,13,13,3d4,8
312,252,Treecko,GRASS,,310,40,45,35,65,55,70,Monster,Dragon,Medium-Slow,-5,9,3,6,9,6,9,7,3d4,3
313,253,Grovyle,GRASS,,405,50,65,45,85,65,95,Monster,Dragon,Medium-Slow,-5,11,3,9,12,7,11,9,3d4,4
314,254,Sceptile,GRASS,,530,70,85,65,105,85,120,Monster,Dragon,Medium-Slow,-5,15,4,11,15,10,14,11,3d4,6
315,254,Mega-Sceptile,GRASS,DRAGON,630,70,110,75,145,85,145,Monster,Dragon,Medium-Slow,-5,15,4,14,19,10,19,11,3d4,6
316,255,Torchic,FIRE,,310,45,60,40,70,50,45,Field,,Medium-Slow,-5,10,3,8,6,6,9,7,3d4,3
317,256,Combusken,FIRE,FIGHTING,405,60,85,60,85,60,55,Field,,Medium-Slow,-5,13,4,11,7,8,11,8,3d4,4
318,257,Blaziken,FIRE,FIGHTING,530,80,120,70,110,70,80,Field,,Medium-Slow,-5,17,5,15,10,9,14,9,3d4,5
319,257,Mega-Blaziken,FIRE,FIGHTING,630,80,160,80,130,80,100,Field,,Medium-Slow,-5,17,5,20,13,10,17,10,3d4,6
320,258,Mudkip,WATER,,310,50,70,50,50,50,40,Monster,Water-1,Medium-Slow,-5,11,3,9,5,7,7,7,3d4,4
321,259,Marshtomp,WATER,GROUND,405,70,85,70,60,70,50,Monster,Water-1,Medium-Slow,-5,15,4,11,7,9,8,9,3d4,5
322,260,Swampert,WATER,GROUND,535,100,110,90,85,90,60,Monster,Water-1,Medium-Slow,-5,21,6,14,8,12,11,12,3d4,7
323,260,Mega-Swampert,WATER,GROUND,635,100,150,110,95,110,70,Monster,Water-1,Medium-Slow,-5,21,6,19,9,14,12,14,3d4,8
324,261,Poochyena,DARK,,220,35,55,35,30,30,35,Field,,Medium-Fast,5,8,2,7,5,5,4,4,3d4,2
325,262,Mightyena,DARK,,420,70,90,70,60,60,70,Field,,Medium-Fast,5,15,4,12,9,9,8,8,3d4,5
326,263,Zigzagoon,NORMAL,,240,38,30,41,30,41,60,Field,,Medium-Fast,5,8,2,4,8,6,4,6,3d4,3
327,263,Galarian-Zigzagoon,DARK,NORMAL,240,38,30,41,30,41,60,Field,,Medium-Fast,5,8,2,4,8,6,4,6,3d4,3
328,264,Linoone,NORMAL,,420,78,70,61,50,61,100,Field,,Medium-Fast,5,16,4,9,13,8,7,8,3d4,4
329,264,Galarian-Linoone,DARK,NORMAL,420,78,70,61,50,61,100,Field,,Medium-Fast,5,16,4,9,13,8,7,8,3d4,4
330,265,Wurmple,BUG,,195,45,45,35,20,30,20,Bug,,Medium-Fast,5,10,3,6,3,5,3,4,3d4,2
331,266,Silcoon,BUG,,205,50,35,55,25,25,15,Bug,,Medium-Fast,5,11,3,5,2,5,4,4,3d4,3
332,267,Beautifly,BUG,FLYING,395,60,70,50,100,50,65,Bug,,Medium-Fast,5,13,4,9,9,7,13,7,3d4,4
333,268,Cascoon,BUG,,205,50,35,55,25,25,15,Bug,,Medium-Fast,5,11,3,5,2,5,4,4,3d4,3
334,269,Dustox,BUG,POISON,385,60,50,70,50,90,65,Bug,,Medium-Fast,5,13,4,7,9,10,7,12,3d4,6
335,270,Lotad,WATER,GRASS,220,40,30,30,40,50,30,Water-1,Grass,Medium-Slow,-5,9,3,4,4,5,5,7,3d4,3
336,271,Lombre,WATER,GRASS,340,60,50,50,60,70,50,Water-1,Grass,Medium-Slow,-5,13,4,7,7,8,8,9,3d4,4
337,272,Ludicolo,WATER,GRASS,480,80,70,70,90,100,70,Water-1,Grass,Medium-Slow,-5,17,5,9,9,11,12,13,3d4,6
338,273,Seedot,GRASS,,220,40,40,50,30,30,30,Field,Grass,Medium-Slow,-5,9,3,5,4,5,4,4,3d4,3
339,274,Nuzleaf,GRASS,DARK,340,70,70,40,60,40,60,Field,Grass,Medium-Slow,-5,15,4,9,8,5,8,5,3d4,3
340,275,Shiftry,GRASS,DARK,480,90,100,60,90,60,80,Field,Grass,Medium-Slow,-5,19,5,13,10,8,12,8,3d4,4
341,276,Taillow,NORMAL,FLYING,270,40,55,30,30,30,85,Flying,,Medium-Slow,-5,9,3,7,11,4,4,4,3d4,2
342,277,Swellow,NORMAL,FLYING,455,60,85,60,75,50,125,Flying,,Medium-Slow,-5,13,4,11,16,7,10,7,3d4,4
343,278,Wingull,WATER,FLYING,270,40,30,30,55,30,85,Water-1,Flying,Medium-Fast,5,9,3,4,11,4,7,4,3d4,2
344,279,Pelipper,WATER,FLYING,440,60,50,100,95,70,65,Water-1,Flying,Medium-Fast,5,13,4,7,9,11,12,9,3d4,6
345,280,Ralts,PSYCHIC,FAIRY,198,28,25,25,45,35,40,Human-Like*,Amorphous,Slow,-10,6,2,4,5,4,6,5,3d4,2
346,281,Kirlia,PSYCHIC,FAIRY,278,38,35,35,65,55,50,Human-Like*,Amorphous,Slow,-10,8,2,5,7,6,9,7,3d4,3
347,282,Gardevoir,PSYCHIC,FAIRY,518,68,65,65,125,115,80,Human-Like*,Amorphous,Slow,-10,14,4,9,10,12,16,15,3d4,7
348,282,Mega-Gardevoir,PSYCHIC,FAIRY,618,68,85,65,165,135,100,Human-Like*,Amorphous,Slow,-10,14,4,11,13,13,21,17,3d4,8
349,283,Surskit,BUG,WATER,269,40,30,32,50,52,65,Water-1,Bug,Medium-Fast,5,9,3,4,9,6,7,7,3d4,3
350,284,Masquerain,BUG,FLYING,454,70,60,62,100,82,80,Water-1,Bug,Medium-Fast,5,15,4,8,10,9,13,11,3d4,5
#VALOR!
#VALOR!
353,287,Slakoth,NORMAL,,280,60,60,60,35,35,30,Field,,Slow,-10,13,4,8,4,6,5,5,3d4,3
354,288,Vigoroth,NORMAL,,440,80,80,80,55,55,90,Field,,Slow,-10,17,5,10,12,9,7,7,3d4,5
355,289,Slaking,NORMAL,,670,150,160,100,95,65,100,Field,,Slow,-10,31,8,20,13,11,12,9,3d4,6
#VALOR!
#VALOR!
#VALOR!
359,293,Whismur,NORMAL,,240,64,51,23,51,23,28,Monster,Field,Medium-Slow,-5,13,4,7,4,3,7,3,3d4,1
360,294,Loudred,NORMAL,,360,84,71,43,71,43,48,Monster,Field,Medium-Slow,-5,17,5,9,6,6,9,6,3d4,3
361,295,Exploud,NORMAL,,490,104,91,63,91,73,68,Monster,Field,Medium-Slow,-5,21,6,12,9,9,12,10,3d4,5
#VALOR!
#VALOR!
364,298,Azurill,NORMAL,FAIRY,190,50,20,40,20,40,20,No-Eggs-Discovered,,Fast,10,11,3,3,3,5,3,5,3d4,3
365,299,Nosepass,ROCK,,375,30,45,135,45,90,30,Mineral,,Medium-Fast,5,7,2,6,4,15,6,12,3d4,9
366,300,Skitty,NORMAL,,260,50,45,45,35,35,50,Field,Fairy,Fast,10,11,3,6,7,5,5,5,3d4,3
367,301,Delcatty,NORMAL,,400,70,65,65,55,55,90,Field,Fairy,Fast,10,15,4,9,12,8,7,7,3d4,4
368,302,Sableye,DARK,GHOST,380,50,75,75,65,65,50,Human-Like,,Medium-Slow,-5,11,3,10,7,9,9,9,3d4,5
369,302,Mega-Sableye,DARK,GHOST,480,50,85,125,85,115,20,Human-Like,,Medium-Slow,-5,11,3,11,3,15,11,15,3d4,9
370,303,Mawile,STEEL,FAIRY,380,50,85,85,55,55,50,Field,Fairy,Fast,10,11,3,11,7,9,7,7,3d4,5
371,303,Mega-Mawile,STEEL,FAIRY,480,50,105,125,55,95,50,Field,Fairy,Fast,10,11,3,14,7,14,7,12,3d4,8
372,304,Aron,STEEL,ROCK,330,50,70,100,40,40,30,Monster,,Slow,-10,11,3,9,4,9,5,5,3d4,5
373,305,Lairon,STEEL,ROCK,430,60,90,140,50,50,40,Monster,,Slow,-10,13,4,12,5,12,7,7,3d4,7
374,306,Aggron,STEEL,ROCK,530,70,110,180,60,60,50,Monster,,Slow,-10,15,4,14,7,15,8,8,3d4,9
375,306,Mega-Aggron,STEEL,,630,70,140,230,60,80,50,Monster,,Slow,-10,15,4,18,7,20,8,10,3d4,12
376,307,Meditite,FIGHTING,PSYCHIC,280,30,40,55,40,55,60,Human-Like,,Medium-Fast,5,7,2,5,8,7,5,7,3d4,4
377,308,Medicham,FIGHTING,PSYCHIC,410,60,60,75,60,75,80,Human-Like,,Medium-Fast,5,13,4,8,10,10,8,10,3d4,6
378,308,Mega-Medicham,FIGHTING,PSYCHIC,510,60,100,85,80,85,100,Human-Like,,Medium-Fast,5,13,4,13,13,11,10,11,3d4,6
379,309,Electrike,ELECTRIC,,295,40,45,40,65,40,65,Field,,Slow,-10,9,3,6,9,5,9,5,3d4,3
380,310,Manectric,ELECTRIC,,475,70,75,60,105,60,105,Field,,Slow,-10,15,4,10,14,8,14,8,3d4,4
381,310,Mega-Manectric,ELECTRIC,,575,70,75,80,135,80,135,Field,,Slow,-10,15,4,10,17,10,17,10,3d4,6
382,311,Plusle,ELECTRIC,,405,60,50,40,85,75,95,Fairy,,Medium-Fast,5,13,4,7,12,8,11,10,3d4,4
383,312,Minun,ELECTRIC,,405,60,40,50,75,85,95,Fairy,,Medium-Fast,5,13,4,5,12,9,10,11,3d4,5
#VALOR!
#VALOR!
386,315,Roselia,GRASS,POISON,400,50,60,45,100,80,65,Fairy,Grass,Medium-Slow,-5,11,3,8,9,8,13,10,3d4,5
#VALOR!
#VALOR!
389,318,Carvanha,WATER,DARK,305,45,90,20,65,20,65,Water-2,,Slow,-10,10,3,12,9,3,9,3,3d4,1
390,319,Sharpedo,WATER,DARK,460,70,120,40,95,40,95,Water-2,,Slow,-10,15,4,15,12,5,12,5,3d4,3
391,319,Mega-Sharpedo,WATER,DARK,560,70,140,70,110,65,105,Water-2,,Slow,-10,15,4,18,14,9,14,9,3d4,5
#VALOR!
#VALOR!
394,322,Numel,FIRE,GROUND,305,60,60,40,65,45,35,Field,,Medium-Fast,5,13,4,8,5,6,9,6,3d4,3
395,323,Camerupt,FIRE,GROUND,460,70,100,70,105,75,40,Field,,Medium-Fast,5,15,4,13,5,10,14,10,3d4,5
396,323,Mega-Camerupt,FIRE,GROUND,560,70,120,100,145,105,20,Field,,Medium-Fast,5,15,4,15,3,13,19,14,3d4,8
397,324,Torkoal,FIRE,,470,70,85,140,85,70,20,Field,,Medium-Fast,5,15,4,11,3,14,11,9,3d4,8
398,325,Spoink,PSYCHIC,,330,60,25,35,70,80,60,Field,,Fast,10,13,4,4,8,8,9,10,3d4,4
399,326,Grumpig,PSYCHIC,,470,80,45,65,90,110,80,Field,,Fast,10,17,5,6,10,11,12,14,3d4,7
400,327,Spinda,NORMAL,,360,60,60,60,60,60,60,Field,Human-Like,Fast,10,13,4,8,8,8,8,8,3d4,4
401,328,Trapinch,GROUND,,290,45,100,45,45,45,10,Bug,Dragon*,Medium-Slow,-5,10,3,13,2,6,6,6,3d4,3
402,329,Vibrava,GROUND,DRAGON,340,50,70,50,50,50,70,Bug,Dragon*,Medium-Slow,-5,11,3,9,9,7,7,7,3d4,4
403,330,Flygon,GROUND,DRAGON,520,80,100,80,80,80,100,Bug,Dragon*,Medium-Slow,-5,17,5,13,13,10,10,10,3d4,6
404,331,Cacnea,GRASS,,335,50,85,40,85,40,35,Grass,Human-Like,Medium-Slow,-5,11,3,11,5,5,11,5,3d4,3
405,332,Cacturne,GRASS,DARK,475,70,115,60,115,60,55,Grass,Human-Like,Medium-Slow,-5,15,4,15,7,8,15,8,3d4,4
#VALOR!
#VALOR!
#VALOR!
#VALOR!
#VALOR!
411,337,Lunatone,ROCK,PSYCHIC,460,90,55,65,95,85,70,Mineral,,Fast,10,19,5,7,9,10,12,11,3d4,6
412,338,Solrock,ROCK,PSYCHIC,460,90,95,85,55,65,70,Mineral,,Fast,10,19,5,12,9,10,7,9,3d4,6
